Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
06-09-2023,24.2,29.1,26.0,92.0,11.5,1.9,2.0,70.0,1.0,C 
07-09-2023,23.2,31.6,27.9,86.0,26.4,0.9,3.0,180.0,1.0,C 
08-09-2023,24.5,34.2,29.0,78.0,0.0,0.0,4.0,320.0,1.0,C 
09-09-2023,24.4,32.0,27.5,88.0,0.0,6.8,2.0,160.0,1.0,C 
11-09-2023,23.4,30.6,25.6,92.0,27.5,1.8,3.0,170.0,1.0,C 
12-09-2023,23.3,33.9,27.7,84.0,19.7,0.4,3.0,190.0,1.0,C 
13-09-2023,23.4,32.2,27.5,90.0,0.1,4.9,2.0,260.0,1.0,C 
14-09-2023,23.8,32.9,27.3,88.0,0.0,1.4,4.0,160.0,1.0,C 
15-09-2023,23.5,32.2,27.3,86.0,0.6,6.9,2.0,240.0,1.0,C 
16-09-2023,24.6,33.2,27.8,86.0,0.0,3.7,5.0,310.0,1.0,C 
17-09-2023,24.6,33.0,27.2,90.0,0.0,4.3,4.0,300.0,1.0,C 
18-09-2023,23.6,31.0,25.3,96.0,3.2,3.7,2.0,280.0,1.0,C 
19-09-2023,23.3,31.8,26.2,93.0,46.4,4.2,2.0,180.0,1.0,C 
20-09-2023,23.6,31.2,26.7,90.0,2.2,2.2,3.0,310.0,1.0,C 
21-09-2023,24.4,32.2,27.9,84.0,1.5,4.8,5.0,250.0,2.0,C 
22-09-2023,24.8,33.2,28.4,81.0,0.7,2.3,5.0,170.0,2.0,S 
23-09-2023,25.4,34.9,28.3,82.0,1.8,1.7,4.0,190.0,2.0,S 
25-09-2023,23.8,34.4,27.7,81.0,0.0,8.4,4.0,280.0,1.0,S 
26-09-2023,24.2,32.1,27.6,87.0,0.0,10.1,3.0,150.0,1.0,C 
27-09-2023,23.8,33.9,27.8,84.0,0.0,0.0,2.0,312.0,1.0,C 
28-09-2023,24.4,32.1,27.6,89.0,24.5,0.8,3.0,300.0,1.0,C 
29-09-2023,24.1,31.6,27.3,90.0,0.4,4.1,2.0,310.0,0.0,C 
30-09-2023,24.8,31.4,26.6,88.0,1.2,0.8,3.0,240.0,1.0,C 
01-10-2023,23.8,32.0,27.7,86.0,36.5,2.3,2.0,160.0,1.0,C 
02-10-2023,23.0,34.2,27.3,84.0,0.1,1.9,4.0,250.0,1.0,C 
03-10-2023,23.7,34.7,28.5,83.0,0.0,6.9,4.0,190.0,1.0,C 
04-10-2023,24.3,34.4,28.2,85.0,0.0,8.5,4.0,330.0,1.0,C 
05-10-2023,24.2,31.2,27.6,91.0,2.9,7.9,2.0,280.0,0.0,C 
07-10-2023,24.6,31.0,27.1,90.0,1.0,0.0,3.0,180.0,0.0,C 
08-10-2023,23.3,32.0,26.5,92.0,0.0,0.0,2.0,140.0,0.0,C 
09-10-2023,23.7,32.1,27.5,87.0,7.7,2.2,3.0,170.0,1.0,C 
10-10-2023,23.5,33.0,27.8,86.0,0.0,4.1,4.0,300.0,1.0,C 
11-10-2023,24.2,32.8,27.6,85.0,1.4,5.7,5.0,300.0,1.0,C 
12-10-2023,24.2,31.6,27.5,88.0,3.5,5.7,3.0,90.0,1.0,C 
13-10-2023,25.0,32.0,27.9,88.0,0.2,3.3,3.0,50.0,1.0,C 
14-10-2023,23.8,32.1,27.9,88.0,47.2,3.3,3.0,260.0,1.0,C 
15-10-2023,25.0,31.5,25.7,95.0,0.0,2.9,4.0,170.0,1.0,C 
16-10-2023,23.3,32.6,26.6,93.0,27.7,0.5,3.0,260.0,1.0,C 
17-10-2023,23.0,32.5,26.8,87.0,6.5,1.6,4.0,190.0,1.0,C 
18-10-2023,23.8,29.6,25.4,97.0,24.9,2.5,4.0,100.0,0.0,C 
19-10-2023,23.5,30.2,26.1,94.0,44.4,0.9,2.0,50.0,0.0,C 
20-10-2023,23.0,32.4,26.7,95.0,4.7,1.3,4.0,300.0,1.0,C 
21-10-2023,23.0,32.3,28.1,84.0,21.5,6.8,4.0,310.0,1.0,C 
22-10-2023,23.7,28.0,25.3,96.0,0.2,10.1,2.0,150.0,0.0,C 
24-10-2023,24.1,30.8,25.8,94.0,0.0,9.2,3.0,200.0,1.0,C 
25-10-2023,23.6,32.3,27.3,87.0,8.5,2.0,4.0,270.0,1.0,C 
27-10-2023,23.8,33.3,28.1,84.0,2.0,1.6,6.0,300.0,1.0,E 
28-10-2023,24.2,31.5,26.6,92.0,1.1,5.6,3.0,300.0,1.0,C 
29-10-2023,24.3,31.9,27.7,86.0,1.8,4.1,3.0,180.0,1.0,C 
30-10-2023,24.6,31.5,27.1,90.0,0.4,6.5,2.0,280.0,0.0,C 
31-10-2023,24.1,32.4,26.7,88.0,2.3,3.9,3.0,310.0,1.0,C 
01-11-2023,23.7,32.0,27.6,86.0,14.1,5.1,3.0,290.0,1.0,C 
02-11-2023,24.4,32.2,26.7,88.0,23.0,6.1,4.0,290.0,1.0,S 
03-11-2023,23.5,30.0,25.9,92.0,12.1,8.7,2.0,170.0,0.0,C 
04-11-2023,22.9,32.9,27.5,86.0,0.1,0.0,4.0,290.0,1.0,C 
05-11-2023,22.9,32.8,26.4,90.0,0.1,8.3,3.0,310.0,1.0,SE
06-11-2023,23.8,31.4,26.5,90.0,27.0,3.8,4.0,300.0,1.0,C 
07-11-2023,23.2,31.4,26.6,88.0,4.8,3.9,2.0,130.0,0.0,C 
08-11-2023,23.2,32.8,28.3,84.0,0.0,0.2,5.0,270.0,1.0,C 
09-11-2023,25.2,30.9,26.5,90.0,0.0,8.6,2.0,40.0,0.0,C 
10-11-2023,24.4,31.8,26.7,88.0,0.8,1.0,4.0,290.0,1.0,C 
11-11-2023,23.4,32.4,27.3,87.0,26.7,2.9,3.0,290.0,1.0,C 
12-11-2023,23.5,30.5,25.6,94.0,0.3,4.4,3.0,150.0,0.0,C 
13-11-2023,23.1,32.3,27.1,90.0,28.0,2.8,4.0,330.0,0.0,C 
15-11-2023,24.8,32.9,26.4,91.0,0.0,8.0,4.0,100.0,1.0,C 
16-11-2023,24.0,33.0,26.7,91.0,12.6,3.6,2.0,300.0,1.0,C 
17-11-2023,23.8,31.8,27.6,87.0,0.2,3.4,5.0,250.0,1.0,C 
18-11-2023,23.7,31.4,27.8,88.0,0.5,7.8,3.0,310.0,1.0,C 
19-11-2023,25.0,31.8,27.3,89.0,4.3,6.1,3.0,280.0,1.0,C 
20-11-2023,24.2,32.6,28.0,88.0,16.7,2.4,3.0,290.0,1.0,C 
21-11-2023,24.8,32.2,28.2,88.0,2.3,6.6,3.0,300.0,0.0,C 
22-11-2023,24.2,30.0,26.6,92.0,6.1,4.0,3.0,280.0,1.0,C 
23-11-2023,24.5,29.7,24.9,97.0,14.5,0.7,3.0,120.0,1.0,C 
24-11-2023,23.8,31.8,26.7,89.0,24.9,0.0,3.0,240.0,1.0,C 
25-11-2023,24.2,33.4,27.2,87.0,0.4,3.5,4.0,150.0,1.0,C 
26-11-2023,24.3,30.0,26.6,89.0,8.4,4.7,3.0,250.0,1.0,C 
27-11-2023,24.0,30.6,26.3,91.0,7.3,1.2,4.0,250.0,1.0,C 
28-11-2023,24.0,32.0,27.4,88.0,23.9,0.8,3.0,290.0,1.0,C 
29-11-2023,23.9,32.4,27.8,86.0,1.1,3.7,4.0,330.0,1.0,C 
30-11-2023,24.4,28.0,25.8,96.0,0.0,8.7,2.0,310.0,0.0,C 
01-12-2023,24.2,30.8,25.8,93.0,20.8,0.0,4.0,240.0,2.0,SE
02-12-2023,23.7,31.5,27.5,88.0,46.8,2.9,2.0,130.0,0.0,C 
03-12-2023,25.0,29.7,25.9,95.0,1.5,4.1,3.0,330.0,0.0,C 
04-12-2023,24.0,30.9,26.1,91.0,12.0,1.8,4.0,290.0,1.0,C 
05-12-2023,23.7,29.5,25.8,92.0,39.2,6.5,1.0,20.0,0.0,C 
06-12-2023,23.2,31.2,27.8,86.0,0.2,0.0,3.0,310.0,1.0,C 
07-12-2023,24.7,31.6,27.5,89.0,14.5,8.9,3.0,280.0,1.0,C 
08-12-2023,25.0,31.8,27.6,88.0,4.5,2.9,3.0,290.0,1.0,C 
09-12-2023,24.8,32.3,27.5,88.0,0.0,5.6,3.0,310.0,1.0,C 
10-12-2023,24.2,32.0,27.7,85.0,1.9,7.0,4.0,230.0,1.0,C 
11-12-2023,24.2,31.6,26.1,92.0,1.9,7.9,4.0,270.0,1.0,C 
12-12-2023,23.4,32.4,27.3,87.0,7.2,3.5,4.0,300.0,1.0,C 
13-12-2023,23.8,31.8,27.3,86.0,0.3,6.8,4.0,320.0,1.0,C 
14-12-2023,24.0,33.1,27.0,90.0,0.0,6.4,2.0,140.0,1.0,C 
15-12-2023,24.4,32.0,27.1,88.0,18.6,4.9,3.0,100.0,1.0,C 
16-12-2023,23.8,32.0,27.8,86.0,0.0,4.4,4.0,310.0,1.0,C 
17-12-2023,23.8,32.8,27.2,90.0,0.0,6.7,3.0,70.0,1.0,C 
18-12-2023,24.2,31.7,27.5,89.0,0.8,2.6,3.0,260.0,1.0,C 
19-12-2023,25.0,29.2,25.8,94.0,18.0,5.5,4.0,170.0,1.0,C 
20-12-2023,23.1,32.6,28.4,82.0,2.6,0.2,4.0,300.0,1.0,C 
21-12-2023,24.7,32.0,27.1,90.0,3.3,10.4,4.0,250.0,1.0,SE
22-12-2023,24.6,31.8,26.4,91.0,1.3,5.9,4.0,260.0,1.0,C 
23-12-2023,24.0,33.4,26.7,91.0,9.4,4.6,3.0,300.0,1.0,C 
24-12-2023,24.5,31.3,27.2,89.0,38.1,5.6,4.0,260.0,1.0,C 
25-12-2023,24.2,28.0,25.6,96.0,46.0,1.8,1.0,110.0,0.0,C 
26-12-2023,24.1,31.2,26.7,90.0,19.4,0.0,4.0,280.0,1.0,C 
27-12-2023,24.3,31.8,27.5,88.0,5.4,4.5,3.0,210.0,1.0,C 
28-12-2023,24.3,31.8,27.6,90.0,1.9,4.0,3.0,190.0,0.0,C 
29-12-2023,24.8,31.0,26.8,92.0,0.9,3.4,2.0,130.0,0.0,C 
30-12-2023,24.4,31.4,27.3,90.0,7.6,2.6,3.0,90.0,1.0,E 
31-12-2023,24.4,29.1,26.6,94.0,2.8,1.2,2.0,60.0,0.0,C 
01-01-2024,24.3,31.8,27.3,90.0,0.4,0.2,3.0,280.0,1.0,C 
02-01-2024,24.3,31.7,26.9,89.0,12.3,6.7,3.0,260.0,1.0,C 
03-01-2024,24.2,32.4,27.3,89.0,0.1,4.2,4.0,310.0,1.0,C 
04-01-2024,23.8,31.4,25.9,94.0,0.0,5.8,2.0,170.0,1.0,E 
05-01-2024,23.8,30.8,26.7,89.0,67.3,1.8,3.0,300.0,1.0,C 
06-01-2024,23.6,31.7,26.6,92.0,0.1,6.1,2.0,310.0,0.0,C 
07-01-2024,24.2,29.9,26.3,91.0,26.7,3.5,2.0,150.0,0.0,C 
08-01-2024,23.7,31.1,26.9,89.0,0.1,0.4,3.0,230.0,1.0,C 
09-01-2024,23.6,32.2,27.2,88.0,0.1,4.5,4.0,270.0,1.0,C 
10-01-2024,24.6,30.6,26.3,92.0,1.3,7.3,2.0,150.0,1.0,C 
11-01-2024,23.8,31.2,27.2,89.0,19.2,1.6,3.0,80.0,1.0,C 
12-01-2024,24.0,30.9,26.0,94.0,0.5,5.5,3.0,300.0,1.0,C 
13-01-2024,23.7,30.1,26.8,91.0,30.7,3.8,3.0,250.0,1.0,C 
14-01-2024,24.1,30.1,26.7,91.0,20.2,1.4,3.0,290.0,1.0,C 
15-01-2024,24.6,31.1,27.0,90.0,28.1,3.6,3.0,320.0,1.0,C 
16-01-2024,24.7,31.3,27.1,89.0,7.3,7.0,5.0,310.0,1.0,C 
17-01-2024,24.8,31.6,27.2,89.0,7.1,4.3,4.0,90.0,1.0,C 
18-01-2024,24.4,33.0,25.3,97.0,26.2,3.2,3.0,160.0,1.0,C 
19-01-2024,24.4,32.2,26.9,88.0,15.5,0.0,5.0,170.0,1.0,C 
20-01-2024,24.0,31.8,26.2,92.0,23.7,3.9,4.0,290.0,1.0,SE
21-01-2024,24.1,31.0,27.3,90.0,8.2,2.7,3.0,310.0,0.0,C 
23-01-2024,23.9,31.9,25.8,93.0,0.0,4.9,4.0,140.0,1.0,C 
24-01-2024,23.4,29.6,26.1,90.0,0.3,3.1,3.0,100.0,1.0,C 
25-01-2024,23.5,32.3,27.5,87.0,0.0,0.7,4.0,120.0,1.0,C 
26-01-2024,24.0,33.0,27.9,84.0,0.0,7.1,5.0,100.0,2.0,C 
28-01-2024,24.7,28.7,25.7,96.0,0.0,9.0,4.0,100.0,1.0,C 
29-01-2024,24.2,30.4,26.7,88.0,59.5,0.0,5.0,130.0,1.0,C 
30-01-2024,24.0,28.9,25.5,96.0,1.7,4.2,3.0,100.0,1.0,C 
31-01-2024,24.3,31.1,26.4,93.0,29.9,0.0,3.0,80.0,1.0,C 
01-02-2024,23.4,25.9,24.7,97.0,41.6,2.0,0.0,130.0,0.0,C 
02-02-2024,23.5,29.6,26.3,92.0,15.6,0.0,3.0,230.0,1.0,C 
03-02-2024,24.2,31.4,26.9,88.0,4.5,3.7,4.0,70.0,1.0,C 
04-02-2024,23.0,31.1,27.2,88.0,0.0,2.9,4.0,290.0,1.0,C 
05-02-2024,23.8,30.9,27.1,90.0,0.0,5.3,2.0,60.0,1.0,C 
06-02-2024,24.4,31.6,27.4,88.0,0.0,0.9,4.0,300.0,1.0,C 
07-02-2024,24.5,31.3,26.9,90.0,0.0,5.7,4.0,120.0,1.0,C 
08-02-2024,23.6,32.2,27.6,86.0,1.0,2.0,5.0,260.0,1.0,C 
09-02-2024,23.7,32.3,27.6,86.0,0.0,8.4,4.0,100.0,2.0,E 
10-02-2024,24.7,29.7,26.4,94.0,0.2,6.9,3.0,80.0,1.0,C 
11-02-2024,24.8,27.4,25.3,97.0,19.1,0.0,4.0,80.0,1.0,C 
12-02-2024,24.2,27.6,25.6,97.0,87.2,0.0,4.0,70.0,0.0,C 
13-02-2024,24.3,30.1,26.9,90.0,22.0,0.0,5.0,70.0,1.0,C 
14-02-2024,24.8,31.2,26.8,93.0,1.4,1.6,4.0,240.0,1.0,C 
15-02-2024,24.6,28.6,25.7,97.0,8.2,3.0,3.0,100.0,0.0,C 
16-02-2024,25.0,28.1,25.5,96.0,35.0,0.4,3.0,50.0,1.0,C 
17-02-2024,23.6,31.7,27.4,85.0,15.4,0.6,5.0,70.0,2.0,C 
18-02-2024,24.5,31.2,27.5,89.0,0.0,8.5,4.0,270.0,1.0,C 
19-02-2024,25.0,32.5,27.4,88.0,0.0,3.8,3.0,70.0,1.0,C 
20-02-2024,24.2,32.1,27.9,89.0,0.0,1.2,5.0,250.0,1.0,C 
21-02-2024,24.2,31.8,27.8,87.0,1.6,7.8,5.0,320.0,1.0,C 
23-02-2024,23.8,32.5,27.3,85.0,0.0,5.9,4.0,310.0,1.0,C 
24-02-2024,23.0,32.8,27.8,85.0,0.0,8.8,4.0,290.0,1.0,C 
25-02-2024,23.0,31.8,26.8,91.0,0.0,5.6,3.0,350.0,1.0,C 
26-02-2024,23.9,29.2,26.3,94.0,4.2,3.1,4.0,70.0,1.0,C 
27-02-2024,24.3,32.5,28.1,83.0,0.6,0.0,5.0,20.0,2.0,C 
28-02-2024,25.3,31.4,26.8,91.0,0.0,8.6,3.0,10.0,1.0,C 
29-02-2024,24.9,31.8,27.2,91.0,2.9,1.6,4.0,40.0,1.0,C 
01-03-2024,25.2,28.4,26.5,96.0,1.0,0.7,2.0,140.0,0.0,C 
02-03-2024,24.7,28.0,25.7,96.0,68.2,0.0,2.0,100.0,0.0,C 
03-03-2024,24.3,31.4,27.1,92.0,16.4,1.5,4.0,330.0,1.0,C 
04-03-2024,24.9,30.9,27.3,90.0,2.8,3.5,3.0,60.0,1.0,C 
05-03-2024,24.7,28.6,26.3,96.0,0.2,0.9,3.0,350.0,1.0,C 
06-03-2024,24.7,32.2,27.8,89.0,3.6,0.3,2.0,340.0,1.0,C 
07-03-2024,25.1,32.5,27.7,90.0,0.0,1.3,4.0,340.0,1.0,C 
08-03-2024,25.0,29.7,27.1,91.0,0.0,5.0,4.0,40.0,1.0,C 
09-03-2024,24.9,29.7,26.6,93.0,0.4,0.0,3.0,50.0,1.0,C 
10-03-2024,24.0,32.0,27.4,86.0,4.8,0.0,5.0,70.0,1.0,C 
11-03-2024,24.4,30.9,27.0,89.0,0.0,4.6,3.0,350.0,1.0,C 
13-03-2024,24.4,31.3,26.5,86.0,0.0,7.2,3.0,70.0,1.0,C 
14-03-2024,22.2,33.3,27.1,80.0,0.0,0.0,4.0,20.0,1.0,C 
15-03-2024,22.8,31.3,27.6,87.0,0.0,8.4,5.0,310.0,1.0,C 
16-03-2024,24.0,32.0,26.8,88.0,0.0,6.2,4.0,30.0,1.0,C 
18-03-2024,23.8,33.4,27.8,86.0,0.0,10.0,4.0,100.0,1.0,C 
19-03-2024,24.2,32.3,28.0,84.0,0.0,5.9,4.0,20.0,2.0,NE
20-03-2024,24.8,32.8,28.2,82.0,0.0,6.9,5.0,350.0,2.0,C 
21-03-2024,24.9,33.3,27.9,79.0,0.0,8.7,4.0,30.0,1.0,C 
22-03-2024,23.7,35.0,28.3,78.0,0.0,7.6,4.0,340.0,1.0,C 
23-03-2024,24.3,32.5,27.2,88.0,0.0,9.9,4.0,290.0,1.0,C 
24-03-2024,24.2,31.2,27.3,91.0,1.3,6.2,3.0,40.0,1.0,C 
25-03-2024,25.2,33.2,28.4,83.0,12.4,2.4,5.0,300.0,1.0,C 
26-03-2024,24.2,32.6,28.1,83.0,0.0,9.1,4.0,320.0,1.0,C 
27-03-2024,24.8,29.0,26.0,94.0,0.0,9.0,3.0,50.0,0.0,C 
28-03-2024,24.1,32.0,27.5,88.0,4.0,0.0,3.0,70.0,1.0,C 
30-03-2024,24.0,27.6,25.3,96.0,1.4,7.2,2.0,90.0,0.0,C 
31-03-2024,23.4,31.9,27.5,89.0,28.6,0.0,4.0,300.0,1.0,NW
01-04-2024,24.6,31.6,27.6,87.0,1.7,4.9,5.0,300.0,1.0,C 
02-04-2024,24.6,32.7,27.9,85.0,0.0,5.4,3.0,300.0,1.0,C 
04-04-2024,24.7,32.8,28.0,86.0,0.0,5.9,4.0,310.0,1.0,C 
05-04-2024,23.9,33.2,29.9,79.0,0.0,8.3,5.0,330.0,2.0,NW
06-04-2024,25.5,32.9,27.9,88.0,0.0,8.0,4.0,310.0,1.0,C 
