Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
26.1,90.0,0.3,3.1,3.0,100.0,1.0,C 
27.5,87.0,0.0,0.7,4.0,120.0,1.0,C 
27.9,84.0,0.0,7.1,5.0,100.0,2.0,C 
25.7,96.0,0.0,9.0,4.0,100.0,1.0,C 
26.7,88.0,59.5,0.0,5.0,130.0,1.0,C 
25.5,96.0,1.7,4.2,3.0,100.0,1.0,C 
26.4,93.0,29.9,0.0,3.0,80.0,1.0,C 
24.7,97.0,41.6,2.0,0.0,130.0,0.0,C 
26.3,92.0,15.6,0.0,3.0,230.0,1.0,C 
26.9,88.0,4.5,3.7,4.0,70.0,1.0,C 
27.2,88.0,0.0,2.9,4.0,290.0,1.0,C 
27.1,90.0,0.0,5.3,2.0,60.0,1.0,C 
27.4,88.0,0.0,0.9,4.0,300.0,1.0,C 
26.9,90.0,0.0,5.7,4.0,120.0,1.0,C 
27.6,86.0,1.0,2.0,5.0,260.0,1.0,C 
27.6,86.0,0.0,8.4,4.0,100.0,2.0,E 
26.4,94.0,0.2,6.9,3.0,80.0,1.0,C 
25.3,97.0,19.1,0.0,4.0,80.0,1.0,C 
25.6,97.0,87.2,0.0,4.0,70.0,0.0,C 
26.9,90.0,22.0,0.0,5.0,70.0,1.0,C 
26.8,93.0,1.4,1.6,4.0,240.0,1.0,C 
25.7,97.0,8.2,3.0,3.0,100.0,0.0,C 
25.5,96.0,35.0,0.4,3.0,50.0,1.0,C 
27.4,85.0,15.4,0.6,5.0,70.0,2.0,C 
27.5,89.0,0.0,8.5,4.0,270.0,1.0,C 
27.4,88.0,0.0,3.8,3.0,70.0,1.0,C 
27.9,89.0,0.0,1.2,5.0,250.0,1.0,C 
27.8,87.0,1.6,7.8,5.0,320.0,1.0,C 
27.3,85.0,0.0,5.9,4.0,310.0,1.0,C 
27.8,85.0,0.0,8.8,4.0,290.0,1.0,C 
26.8,91.0,0.0,5.6,3.0,350.0,1.0,C 
26.3,94.0,4.2,3.1,4.0,70.0,1.0,C 
28.1,83.0,0.6,0.0,5.0,20.0,2.0,C 
26.8,91.0,0.0,8.6,3.0,10.0,1.0,C 
27.2,91.0,2.9,1.6,4.0,40.0,1.0,C 
26.5,96.0,1.0,0.7,2.0,140.0,0.0,C 
25.7,96.0,68.2,0.0,2.0,100.0,0.0,C 
27.1,92.0,16.4,1.5,4.0,330.0,1.0,C 
27.3,90.0,2.8,3.5,3.0,60.0,1.0,C 
26.3,96.0,0.2,0.9,3.0,350.0,1.0,C 
27.8,89.0,3.6,0.3,2.0,340.0,1.0,C 
27.7,90.0,0.0,1.3,4.0,340.0,1.0,C 
27.1,91.0,0.0,5.0,4.0,40.0,1.0,C 
26.6,93.0,0.4,0.0,3.0,50.0,1.0,C 
27.4,86.0,4.8,0.0,5.0,70.0,1.0,C 
27.0,89.0,0.0,4.6,3.0,350.0,1.0,C 
26.5,86.0,0.0,7.2,3.0,70.0,1.0,C 
27.1,80.0,0.0,0.0,4.0,20.0,1.0,C 
27.6,87.0,0.0,8.4,5.0,310.0,1.0,C 
26.8,88.0,0.0,6.2,4.0,30.0,1.0,C 
27.8,86.0,0.0,10.0,4.0,100.0,1.0,C 
28.0,84.0,0.0,5.9,4.0,20.0,2.0,NE
28.2,82.0,0.0,6.9,5.0,350.0,2.0,C 
27.9,79.0,0.0,8.7,4.0,30.0,1.0,C 
28.3,78.0,0.0,7.6,4.0,340.0,1.0,C 
27.2,88.0,0.0,9.9,4.0,290.0,1.0,C 
27.3,91.0,1.3,6.2,3.0,40.0,1.0,C 
28.4,83.0,12.4,2.4,5.0,300.0,1.0,C 
28.1,83.0,0.0,9.1,4.0,320.0,1.0,C 
26.0,94.0,0.0,9.0,3.0,50.0,0.0,C 
27.5,88.0,4.0,0.0,3.0,70.0,1.0,C 
25.3,96.0,1.4,7.2,2.0,90.0,0.0,C 
27.5,89.0,28.6,0.0,4.0,300.0,1.0,NW
27.6,87.0,1.7,4.9,5.0,300.0,1.0,C 
27.9,85.0,0.0,5.4,3.0,300.0,1.0,C 
28.0,86.0,0.0,5.9,4.0,310.0,1.0,C 
29.9,79.0,0.0,8.3,5.0,330.0,2.0,NW
27.9,88.0,0.0,8.0,4.0,310.0,1.0,C 
28.1,85.0,0.2,4.6,3.0,60.0,1.0,C 
28.7,83.0,0.0,3.8,4.0,300.0,1.0,C 
26.6,94.0,0.3,9.7,3.0,290.0,1.0,C 
26.7,93.0,70.0,2.7,2.0,50.0,0.0,C 
26.9,90.0,6.6,0.8,5.0,360.0,1.0,C 
26.8,90.0,4.1,5.0,3.0,300.0,1.0,C 
27.5,87.0,92.7,5.2,3.0,300.0,1.0,C 
28.5,84.0,0.0,5.3,4.0,300.0,1.0,C 
28.5,84.0,0.0,9.1,4.0,300.0,1.0,C 
28.0,88.0,0.0,7.1,4.0,290.0,1.0,C 
27.5,86.0,2.6,6.1,5.0,160.0,2.0,C 
28.2,85.0,0.0,6.2,4.0,310.0,1.0,C 
28.4,82.0,0.0,6.4,4.0,330.0,1.0,C 
28.3,88.0,0.0,9.6,4.0,80.0,1.0,C 
28.7,86.0,2.7,4.9,4.0,330.0,1.0,C 
28.8,84.0,0.0,2.8,4.0,310.0,1.0,C 
26.5,93.0,0.2,7.8,3.0,300.0,0.0,C 
27.8,88.0,5.0,2.9,3.0,320.0,1.0,C 
28.8,83.0,7.5,6.2,3.0,240.0,1.0,C 
27.7,90.0,0.0,8.0,2.0,250.0,0.0,C 
28.8,82.0,1.5,2.6,4.0,290.0,1.0,C 
27.4,92.0,0.0,8.6,2.0,310.0,0.0,C 
26.5,94.0,2.0,0.0,3.0,60.0,1.0,C 
28.6,82.0,1.0,0.0,3.0,320.0,1.0,C 
28.8,84.0,0.0,9.8,4.0,290.0,1.0,C 
28.2,85.0,0.0,8.5,2.0,320.0,1.0,C 
28.8,85.0,0.0,2.3,4.0,300.0,1.0,C 
26.8,92.0,19.0,7.5,2.0,40.0,0.0,C 
