,Tanggal,Tn,Tx,Tavg,RH_avg,RR,ss,ff_x,ddd_x,ff_avg,ddd_car
190,2024-01-23,23.9,31.9,25.8,93.0,0.0,4.9,4.0,140.0,1.0,C 
191,2024-01-24,23.4,29.6,26.1,90.0,0.3,3.1,3.0,100.0,1.0,C 
192,2024-01-25,23.5,32.3,27.5,87.0,0.0,0.7,4.0,120.0,1.0,C 
193,2024-01-26,24.0,33.0,27.9,84.0,0.0,7.1,5.0,100.0,2.0,C 
194,2024-01-28,24.7,28.7,25.7,96.0,0.0,9.0,4.0,100.0,1.0,C 
195,2024-01-29,24.2,30.4,26.7,88.0,59.5,0.0,5.0,130.0,1.0,C 
196,2024-01-30,24.0,28.9,25.5,96.0,1.7,4.2,3.0,100.0,1.0,C 
197,2024-01-31,24.3,31.1,26.4,93.0,29.9,0.0,3.0,80.0,1.0,C 
198,2024-02-01,23.4,25.9,24.7,97.0,41.6,2.0,0.0,130.0,0.0,C 
199,2024-02-02,23.5,29.6,26.3,92.0,15.6,0.0,3.0,230.0,1.0,C 
200,2024-02-03,24.2,31.4,26.9,88.0,4.5,3.7,4.0,70.0,1.0,C 
201,2024-02-04,23.0,31.1,27.2,88.0,0.0,2.9,4.0,290.0,1.0,C 
202,2024-02-05,23.8,30.9,27.1,90.0,0.0,5.3,2.0,60.0,1.0,C 
203,2024-02-06,24.4,31.6,27.4,88.0,0.0,0.9,4.0,300.0,1.0,C 
204,2024-02-07,24.5,31.3,26.9,90.0,0.0,5.7,4.0,120.0,1.0,C 
205,2024-02-08,23.6,32.2,27.6,86.0,1.0,2.0,5.0,260.0,1.0,C 
206,2024-02-09,23.7,32.3,27.6,86.0,0.0,8.4,4.0,100.0,2.0,E 
207,2024-02-10,24.7,29.7,26.4,94.0,0.2,6.9,3.0,80.0,1.0,C 
208,2024-02-11,24.8,27.4,25.3,97.0,19.1,0.0,4.0,80.0,1.0,C 
209,2024-02-12,24.2,27.6,25.6,97.0,87.2,0.0,4.0,70.0,0.0,C 
210,2024-02-13,24.3,30.1,26.9,90.0,22.0,0.0,5.0,70.0,1.0,C 
211,2024-02-14,24.8,31.2,26.8,93.0,1.4,1.6,4.0,240.0,1.0,C 
212,2024-02-15,24.6,28.6,25.7,97.0,8.2,3.0,3.0,100.0,0.0,C 
213,2024-02-16,25.0,28.1,25.5,96.0,35.0,0.4,3.0,50.0,1.0,C 
214,2024-02-17,23.6,31.7,27.4,85.0,15.4,0.6,5.0,70.0,2.0,C 
215,2024-02-18,24.5,31.2,27.5,89.0,0.0,8.5,4.0,270.0,1.0,C 
216,2024-02-19,25.0,32.5,27.4,88.0,0.0,3.8,3.0,70.0,1.0,C 
217,2024-02-20,24.2,32.1,27.9,89.0,0.0,1.2,5.0,250.0,1.0,C 
218,2024-02-21,24.2,31.8,27.8,87.0,1.6,7.8,5.0,320.0,1.0,C 
219,2024-02-23,23.8,32.5,27.3,85.0,0.0,5.9,4.0,310.0,1.0,C 
